name,team,year,position_w
Rick Burkholder,Pittsburgh Steelers,1994,Assistant Trainer
Dwain Painter,San Diego Chargers,1994,Quarterbacks
Frank Falks,San Diego Chargers,1994,Tight Ends/H-Backs
Carl Mauck,San Diego Chargers,1994,Offensive Line
Stan Kwan,San Diego Chargers,1994,Offense And Special Teams Assistant
John Misciagna,San Diego Chargers,1994,Quality Control
Dennis Murphy,San Diego Chargers,1994,Defensive Line
Kevin O'Dea,San Diego Chargers,1994,Defense Assistant
Chuck Priefer,San Diego Chargers,1994,Special Teams
John Dunn,San Diego Chargers,1994,Strength And Conditioning
Chip Morton,San Diego Chargers,1994,Strength And Conditioning Assistant
Neal Dahlen,San Francisco 49ers,1994,Coaching Administrator And Financial Liaison
Carl Jackson,San Francisco 49ers,1994,Running Backs
Larry Kirksey,San Francisco 49ers,1994,Receivers
Bobb McKittrick,San Francisco 49ers,1994,Offensive Line
Brian Pariani,San Francisco 49ers,1994,Offensivees Assistant
Dwaine Board,San Francisco 49ers,1994,Defensive Line
John Marshall,San Francisco 49ers,1994,Linebackers
Tom Holmoe,San Francisco 49ers,1994,Defensive Backs
Alan Lowry,San Francisco 49ers,1994,Special Teams
Michael Barnes,San Francisco 49ers,1994,Assistant Strength And Conditioning
Russ Purnell,Seattle Seahawks,1994,Tight Ends/Special Teams
Howard Mudd,Seattle Seahawks,1994,Offensive Line
Tommy Brasher,Seattle Seahawks,1994,Defensive Line
Paul Moyer,Seattle Seahawks,1994,Defensive Backs
Dave Brown,Seattle Seahawks,1994,Defensive
Frank Raines,Seattle Seahawks,1994,Strength And Conditioning
Willie Peete,Tampa Bay Buccaneers,1994,Running Backs
David Culley,Tampa Bay Buccaneers,1994,Wide Receivers
Bob Wylie,Tampa Bay Buccaneers,1994,Offensive Line
Ken Clarke,Tampa Bay Buccaneers,1994,Defensive Line
Maxie Baughan,Tampa Bay Buccaneers,1994,Linebackers
Johnnie Lynn,Tampa Bay Buccaneers,1994,Defensive Backs
George Stewart,Tampa Bay Buccaneers,1994,Special Teams/Tight Ends
Brad Roll,Tampa Bay Buccaneers,1994,Strength And Conditioning
Russ Grimm,Washington Redskins,1994,Tight Ends
Bob Karmelowicz,Washington Redskins,1994,Defensive Line
Mike Haluchak,Washington Redskins,1994,Linebackers
Pete Rodriguez,Washington Redskins,1994,Special Teams
Dan Riley,Washington Redskins,1994,Strength
Jason Arapoff,Washington Redskins,1994,Assistant Strength
George Martinez,Arizona Cardinals,1995,Running Backs
Ted Plumb,Arizona Cardinals,1995,Receivers/Tight Ends
Dan Neal,Arizona Cardinals,1995,Offensive Line
Jim Stanley,Arizona Cardinals,1995,Defensive Line
Al Roberts,Arizona Cardinals,1995,Special Teams
Bob Rogucki,Arizona Cardinals,1995,Strength And Conditioning
Elijah Pitts,Buffalo Bills,1995,Assistant Head/Running Backs
Charlie Joiner,Buffalo Bills,1995,Receivers
Don Lawrence,Buffalo Bills,1995,Offensive Quality Control/Tight Ends
Dan Sekanovich,Buffalo Bills,1995,Defensive Line
Chuck Lester,Buffalo Bills,1995,Assistant Linebackers
Dick Roach,Buffalo Bills,1995,Defensive Backs
Bruce DeHaven,Buffalo Bills,1995,Special Teams
Jim McNally,Carolina Panthers,1995,Offensive Line
Blair Bush,Carolina Panthers,1995,Assistant Offensive Line
Cary Godette,Carolina Panthers,1995,Defensive Line
Kevin Steele,Carolina Panthers,1995,Linebackers
Billy Davis,Carolina Panthers,1995,Outside Linebackers
George Catavolos,Carolina Panthers,1995,Defensive Backs
Brad Seely,Carolina Panthers,1995,Special Teams
Chip Morton,Carolina Panthers,1995,Strength And Conditioning
Tony Wise,Chicago Bears,1995,Assistant Head/Offensive Line
Willie Peete,Chicago Bears,1995,Running Backs
Ivan Fears,Chicago Bears,1995,Wide Receivers
Clarence Brooks,Chicago Bears,1995,Defensive Line
Carlos Mainord,Chicago Bears,1995,Defensive Assistant
Dave Shula,Cincinnati Bengals,1995,Head
Jim Anderson,Cincinnati Bengals,1995,Running Backs
Paul Alexander,Cincinnati Bengals,1995,Offensive Line
John Garrett,Cincinnati Bengals,1995,Offensive Assistant/Wide Receivers
Bobby DePaul,Cincinnati Bengals,1995,Defensive Line
Ron Meeks,Cincinnati Bengals,1995,Defensive Backs
Tim Krumrie,Cincinnati Bengals,1995,Defensive Assistant
Joe Wessel,Cincinnati Bengals,1995,Special Teams
Kim Wood,Cincinnati Bengals,1995,Strength And Conditioning
Pat Hill,Cleveland Browns,1995,Tight Ends/Assistant Offensive Line
Kirk Ferentz,Cleveland Browns,1995,Offensive Line
Ernie Adams,Cleveland Browns,1995,Special Assignment
John Settle,Cleveland Browns,1995,Offensive Assistant
Jacob Burney,Cleveland Browns,1995,Defensive Line
Scott O'Brien,Cleveland Browns,1995,Special Teams
Jerry Simmons,Cleveland Browns,1995,Strength And Conditioning
Alex Gibbs,Denver Broncos,1995,Assistant Head/Offensive Line
Bobby Turner,Denver Broncos,1995,Running Backs
Brian Pariani,Denver Broncos,1995,Tight Ends
Barney Chavous,Denver Broncos,1995,Assistant Offensive Line/Strength Assistant
Alvin Reynolds,Denver Broncos,1995,Assistant Defensive Backs
Rich Tuten,Denver Broncos,1995,Strength And Conditioning
Greg Saporta,Denver Broncos,1995,Assistant Strength And Conditioning
John Teerlinck,Detroit Lions,1995,Assistant Head/Defense
Mo Forte,Detroit Lions,1995,Running Backs
Charlie Sanders,Detroit Lions,1995,Receivers
Steve Kazor,Detroit Lions,1995,Tight Ends/Offensive Assistant
Paul Boudreau,Detroit Lions,1995,Offensive Line
Don Clemons,Detroit Lions,1995,Linebackers
Howard Tippett,Detroit Lions,1995,Outside Linebackers
John Fontes,Detroit Lions,1995,Defensive Backs
Frank Novak,Detroit Lions,1995,Special Teams
Bert Hill,Detroit Lions,1995,Strength And Conditioning/Defensive Assistant
Harry Sydney,Green Bay Packers,1995,Running Backs
Gil Haskell,Green Bay Packers,1995,Wide Receivers
Tom Lovat,Green Bay Packers,1995,Offensive Line
Larry Brooks,Green Bay Packers,1995,Defensive Line
Bob Valesente,Green Bay Packers,1995,Defensive Backs/Secondary
Johnny Holland,Green Bay Packers,1995,Defensive Assistant/Quality Control
Nolan Cromwell,Green Bay Packers,1995,Special Teams
Kent Johnston,Green Bay Packers,1995,Strength And Conditioning
Barry Rubin,Green Bay Packers,1995,Assistant Strength And Conditioning
Larry Beightol,Houston Oilers,1995,Offensive Line
Rex Norris,Houston Oilers,1995,Defensive Line
Rod Perry,Houston Oilers,1995,Defensive Backs
Russ Purnell,Houston Oilers,1995,Special Teams
Steve Watterson,Houston Oilers,1995,Strength And Conditioning
Gene Huey,Indianapolis Colts,1995,Running Backs
Jimmy Robinson,Indianapolis Colts,1995,Receivers
Tom Batta,Indianapolis Colts,1995,Tight Ends/Quality Control
Ron Blackledge,Indianapolis Colts,1995,Offensive Line
Pat Thomas,Indianapolis Colts,1995,Secondary
Tom Zupancic,Indianapolis Colts,1995,Strength And Conditioning
Jerald Ingram,Jacksonville Jaguars,1995,Running Backs
Mike Maser,Jacksonville Jaguars,1995,Offensive Line
Steve Szabo,Jacksonville Jaguars,1995,Inside Linebackers
Lucious Selmon,Jacksonville Jaguars,1995,Outside Linebackers
Randy Edsall,Jacksonville Jaguars,1995,Secondary
Joe Baker,Jacksonville Jaguars,1995,Assistant Special Teams
Jerry Palmieri,Jacksonville Jaguars,1995,Strength And Conditioning
Jeff Hurd,Jacksonville Jaguars,1995,Assistant Strength And Conditioning
Jimmy Raye,Kansas City Chiefs,1995,Running Backs
Jim Erkenbeck,Kansas City Chiefs,1995,Tight Ends/Offensive Assistant
Jimmy Raye III,Kansas City Chiefs,1995,Offensive Quality Control
Carl Hairston,Kansas City Chiefs,1995,Defensive Line
John Bunting,Kansas City Chiefs,1995,Linebackers
Herman Edwards,Kansas City Chiefs,1995,Defensive Backs
Woodrow Lowe,Kansas City Chiefs,1995,Defensive Assistant/Special Teams/Assistant Special Teams
Darvin Wallis,Kansas City Chiefs,1995,Defensive Assistant/Quality Control
Mike Stock,Kansas City Chiefs,1995,Special Teams
Dave Redding,Kansas City Chiefs,1995,Strength And Conditioning
Russ Ball,Kansas City Chiefs,1995,Assistant Strength And Conditioning
Carl Hargrave,Minnesota Vikings,1995,Running Backs
Chip Myers,Minnesota Vikings,1995,Receivers
John Levra,Minnesota Vikings,1995,Defensive Line
Foge Fazio,Minnesota Vikings,1995,Inside Linebackers
Trent Walters,Minnesota Vikings,1995,Outside Linebackers
Richard Solomon,Minnesota Vikings,1995,Defensive Backs
Gary Zauner,Minnesota Vikings,1995,Special Teams
Steve Wetzel,Minnesota Vikings,1995,Strength And Conditioning
Mark Asanovich,Minnesota Vikings,1995,Assistant Strength And Conditioning
Fred Hoaglin,New England Patriots,1995,Offensive Line
Bob Trott,New England Patriots,1995,Defensive Backs
Dante Scarnecchia,New England Patriots,1995,Defensive Assistant/Linebackers
Mike Sweatman,New England Patriots,1995,Special Teams
Johnny Parker,New England Patriots,1995,Strength And Conditioning
Steve Walters,New Orleans Saints,1995,Wide Receivers
Larry Kennan,New Orleans Saints,1995,Tight Ends
John Matsko,New Orleans Saints,1995,Offensive Line
Wayne Nunnely,New Orleans Saints,1995,Defensive Line
Jim L Mora,New Orleans Saints,1995,Defensive Backs
Steve Trimble,New Orleans Saints,1995,Defensive Assistant
Frank Warren,New Orleans Saints,1995,Defensive Assistant
Joe Marciano,New Orleans Saints,1995,Special Teams
Russell Paternostro,New Orleans Saints,1995,Strength And Conditioning
Steve DeBerg,New York Giants,1995,Quarterbacks
Dick Rehbein,New York Giants,1995,Wide Receivers
James Daniel,New York Giants,1995,Tight Ends
Earl Leggett,New York Giants,1995,Defensive Line
Joe DeCamillis,New York Giants,1995,Special Teams
Al Miller,New York Giants,1995,Strength And Conditioning
Richard Mann,New York Jets,1995,Wide Receivers/Tight Ends
Ray Hamilton,New York Jets,1995,Defensive Line
Tom Gamble,New York Jets,1995,Defensive Assistant/Quality Control
Ken Rose,New York Jets,1995,Special Teams
Jim Williams,New York Jets,1995,Strength And Conditioning
Gerald Carr,Philadelphia Eagles,1995,Wide Receivers
Ted Williams,Philadelphia Eagles,1995,Tight Ends
Chuck Knox Jr,Philadelphia Eagles,1995,Defensive Assistant
Danny Smith,Philadelphia Eagles,1995,Special Teams
Mike Wolf,Philadelphia Eagles,1995,Strength And Conditioning
Paul Ricci,Philadelphia Eagles,1995,Assistant Strength And Conditioning
Tom Kanavy,Philadelphia Eagles,1995,Assistant Strength And Conditioning
Martin Streight,Philadelphia Eagles,1995,Part-Time Strength And Conditioning
Chuck Noll,Pittsburgh Steelers,1995,Administration Advisor
Dick Hoak,Pittsburgh Steelers,1995,Running Backs
Pat Hodgson,Pittsburgh Steelers,1995,Tight Ends
Kent Stephenson,Pittsburgh Steelers,1995,Offensive Line
John Mitchell,Pittsburgh Steelers,1995,Defensive Line
Bobby April,Pittsburgh Steelers,1995,Special Teams
John Norwig,Pittsburgh Steelers,1995,Head Trainer
Rick Burkholder,Pittsburgh Steelers,1995,Assistant Trainer
Dwain Painter,San Diego Chargers,1995,Quarterbacks
Frank Falks,San Diego Chargers,1995,Tight Ends/H-Backs
Carl Mauck,San Diego Chargers,1995,Offensive Line
Stan Kwan,San Diego Chargers,1995,Offense And Special Teams Assistant
John Misciagna,San Diego Chargers,1995,Quality Control
Dennis Murphy,San Diego Chargers,1995,Defensive Line
Greg Brown,San Diego Chargers,1995,Secondary
Kevin O'Dea,San Diego Chargers,1995,Defense Assistant
Chuck Priefer,San Diego Chargers,1995,Special Teams
John Dunn,San Diego Chargers,1995,Strength And Conditioning
John Hastings,San Diego Chargers,1995,Strength And Conditioning Assistant
Neal Dahlen,San Francisco 49ers,1995,Coaching Administrator
Carl Jackson,San Francisco 49ers,1995,Running Backs
Larry Kirksey,San Francisco 49ers,1995,Receivers
Bobb McKittrick,San Francisco 49ers,1995,Offensive Line
Dwaine Board,San Francisco 49ers,1995,Defensive Line
John Marshall,San Francisco 49ers,1995,Linebackers
Tom Holmoe,San Francisco 49ers,1995,Defensive Backs
Alan Lowry,San Francisco 49ers,1995,Special Teams
Gregg Smith,Seattle Seahawks,1995,Assistant Head/Tight Ends
Rich Olson,Seattle Seahawks,1995,Quarterbacks
Howard Mudd,Seattle Seahawks,1995,Offensive Line
Ned James,Seattle Seahawks,1995,Offensive Staff Assistant
Tommy Brasher,Seattle Seahawks,1995,Defensive Line
Mike Murphy,Seattle Seahawks,1995,Linebackers
Dave Brown,Seattle Seahawks,1995,Defensive
Arnie Matsumoto,Seattle Seahawks,1995,Defensive Staff Assistant
Dave Arnold,Seattle Seahawks,1995,Special Teams
Dana LeDuc,Seattle Seahawks,1995,Strength And Conditioning
Johnny Roland,St. Louis Rams,1995,Assistant Head/Running Backs
Steve Greatwood,St. Louis Rams,1995,Offensive Line/Tight Ends
Dan Radakovich,St. Louis Rams,1995,Offensive Line
John Ramsdell,St. Louis Rams,1995,Offensive Assistant/Quality Control
Deek Pollard,St. Louis Rams,1995,Defensive Line
Dick Selcer,St. Louis Rams,1995,Linebackers
Nick Aliotti,St. Louis Rams,1995,Secondary
Steve Brown,St. Louis Rams,1995,Defensive Assistant/Quality Control
Wayne Sevier,St. Louis Rams,1995,Special Teams
Chris Clausen,St. Louis Rams,1995,Strength And Conditioning
David Culley,Tampa Bay Buccaneers,1995,Wide Receivers
Bob Wylie,Tampa Bay Buccaneers,1995,Offensive Line
Ken Clarke,Tampa Bay Buccaneers,1995,Defensive Line
Tom Pratt,Tampa Bay Buccaneers,1995,Defensive Line
Maxie Baughan,Tampa Bay Buccaneers,1995,Linebackers
Johnnie Lynn,Tampa Bay Buccaneers,1995,Defensive Backs
George Stewart,Tampa Bay Buccaneers,1995,Special Teams
Brad Roll,Tampa Bay Buccaneers,1995,Strength And Conditioning
Russ Grimm,Washington Redskins,1995,Tight Ends
Bob Karmelowicz,Washington Redskins,1995,Defensive Line
Mike Haluchak,Washington Redskins,1995,Linebackers
Tom Hayes,Washington Redskins,1995,Defensive Backs
Pete Rodriguez,Washington Redskins,1995,Special Teams
Dan Riley,Washington Redskins,1995,Strength
Vic Rapp,Arizona Cardinals,1996,Wide Receivers
Carl Mauck,Arizona Cardinals,1996,Offensive Line
Joe Greene,Arizona Cardinals,1996,Defensive Line
Glenn Pires,Arizona Cardinals,1996,Linebackers
Al Everest,Arizona Cardinals,1996,Special Teams
Bob Rogucki,Arizona Cardinals,1996,Strength And Conditioning
Milt Jackson,Atlanta Falcons,1996,Assistant Head/Wide Receivers
Mouse Davis,Atlanta Falcons,1996,Quarterbacks
Ollie Wilson,Atlanta Falcons,1996,Running Backs
Bob Palcic,Atlanta Falcons,1996,Offensive Line
Rod Rust,Atlanta Falcons,1996,Assistant Head/Defense
Bill Kollar,Atlanta Falcons,1996,Defensive Line
Keith Armstrong,Atlanta Falcons,1996,Secondary
Will Lewis,Atlanta Falcons,1996,Defensive Assistant
Tim Jorgensen,Atlanta Falcons,1996,Strength And Conditioning
Kirk Ferentz,Baltimore Ravens,1996,Assistant Head/Offense
Don Strock,Baltimore Ravens,1996,Quarterbacks
Al Lavan,Baltimore Ravens,1996,Running Backs
Pat Hill,Baltimore Ravens,1996,Tight Ends
Jacob Burney,Baltimore Ravens,1996,Defensive Line
Maxie Baughan,Baltimore Ravens,1996,Linebackers
Alvin Reynolds,Baltimore Ravens,1996,Defensive Backs
Scott O'Brien,Baltimore Ravens,1996,Special Teams
John Settle,Baltimore Ravens,1996,Quality Control/Special Teams
Jerry Simmons,Baltimore Ravens,1996,Strength And Conditioning
Elijah Pitts,Buffalo Bills,1996,Assistant Head/Running Backs
Charlie Joiner,Buffalo Bills,1996,Receivers
Don Lawrence,Buffalo Bills,1996,Offensive Quality Control/Tight Ends
Don Sekanovich,Buffalo Bills,1996,Defensive Line
Chuck Lester,Buffalo Bills,1996,Assistant Linebackers
Dick Roach,Buffalo Bills,1996,Defensive Backs
Bruce DeHaven,Buffalo Bills,1996,Special Teams
Jim McNally,Carolina Panthers,1996,Offensive Line
Blair Bush,Carolina Panthers,1996,Assistant Offensive Line
Ted Gill,Carolina Panthers,1996,Defensive Line
Kevin Steele,Carolina Panthers,1996,Linebackers
Billy Davis,Carolina Panthers,1996,Outside Linebackers
George Catavolos,Carolina Panthers,1996,Defensive Backs
Brad Seely,Carolina Panthers,1996,Special Teams
Chip Morton,Carolina Panthers,1996,Strength And Conditioning
Tony Wise,Chicago Bears,1996,Assistant Head/Offensive Line
Willie Peete,Chicago Bears,1996,Running Backs
Ivan Fears,Chicago Bears,1996,Wide Receivers
Ted Plumb,Chicago Bears,1996,Tight Ends
Clarence Brooks,Chicago Bears,1996,Defensive Line
Carlos Mainord,Chicago Bears,1996,Defensive Backs
Dave Shula,Cincinnati Bengals,1996,Head
Ken Anderson,Cincinnati Bengals,1996,Quarterbacks
Jim Anderson,Cincinnati Bengals,1996,Running Backs
John Garrett,Cincinnati Bengals,1996,Wide Receivers
Paul Alexander,Cincinnati Bengals,1996,Offensive Line
Tim Krumrie,Cincinnati Bengals,1996,Defensive Line
Ron Meeks,Cincinnati Bengals,1996,Defensive Backs
Bobby DePaul,Cincinnati Bengals,1996,Staff Assistant
Joe Wessel,Cincinnati Bengals,1996,Special Teams
Kim Wood,Cincinnati Bengals,1996,Strength And Conditioning
Alex Gibbs,Denver Broncos,1996,Assistant Head/Offensive Line
Bobby Turner,Denver Broncos,1996,Running Backs
Brian Pariani,Denver Broncos,1996,Tight Ends
Barney Chavous,Denver Broncos,1996,Assistant Offensive Line/Strength Assistant
Rick Smith,Denver Broncos,1996,Defensive Assistant
Rich Tuten,Denver Broncos,1996,Strength And Conditioning
Greg Saporta,Denver Broncos,1996,Assistant Strength And Conditioning
John Teerlinck,Detroit Lions,1996,Assistant Head/Defense
Mo Forte,Detroit Lions,1996,Running Backs
Charlie Sanders,Detroit Lions,1996,Receivers
Steve Kazor,Detroit Lions,1996,Tight Ends/Offensive Assistant
Paul Boudreau,Detroit Lions,1996,Offensive Line
Howard Tippett,Detroit Lions,1996,Linebackers
John Fontes,Detroit Lions,1996,Defensive Backs
Don Clemons,Detroit Lions,1996,Defensive Assistant/Linebackerss And Defensive Backss
Frank Novak,Detroit Lions,1996,Special Teams
Bert Hill,Detroit Lions,1996,Strength And Conditioning/Special Teams Assistant
Harry Sydney,Green Bay Packers,1996,Running Backs
Gil Haskell,Green Bay Packers,1996,Wide Receivers
Tom Lovat,Green Bay Packers,1996,Offensive Line
Larry Brooks,Green Bay Packers,1996,Defensive Line
Bob Valesente,Green Bay Packers,1996,Defensive Backs/Secondary
Johnny Holland,Green Bay Packers,1996,Defensive Assistant/Quality Control
Nolan Cromwell,Green Bay Packers,1996,Special Teams
Kent Johnston,Green Bay Packers,1996,Strength And Conditioning
Barry Rubin,Green Bay Packers,1996,Assistant Strength And Conditioning
Rennie Simmons,Houston Oilers,1996,Offensive Line
Rex Norris,Houston Oilers,1996,Defensive Line
Rod Perry,Houston Oilers,1996,Defensive Backs
Alan Lowry,Houston Oilers,1996,Defensive Assistant/Quality Control
Russ Purnell,Houston Oilers,1996,Special Teams
Steve Watterson,Houston Oilers,1996,Strength And Conditioning
Gene Huey,Indianapolis Colts,1996,Running Backs
Jimmy Robinson,Indianapolis Colts,1996,Receivers
Tom Batta,Indianapolis Colts,1996,Tight Ends/Quality Control
Ron Blackledge,Indianapolis Colts,1996,Offensive Line
Charlie Davis,Indianapolis Colts,1996,Assistant Offensive Line
Buddy Geis,Indianapolis Colts,1996,Offensive Assistant/Assistant Quarterbacks
Pat Thomas,Indianapolis Colts,1996,Secondary
Hank Kuhlmann,Indianapolis Colts,1996,Special Teams
Tom Zupancic,Indianapolis Colts,1996,Strength And Conditioning
Jerald Ingram,Jacksonville Jaguars,1996,Running Backs
Mike Maser,Jacksonville Jaguars,1996,Offensive Line
Steve Szabo,Jacksonville Jaguars,1996,Inside Linebackers
Lucious Selmon,Jacksonville Jaguars,1996,Outside Linebackers
Randy Edsall,Jacksonville Jaguars,1996,Secondary
Joe Baker,Jacksonville Jaguars,1996,Assistant Special Teams
Jerry Palmieri,Jacksonville Jaguars,1996,Strength And Conditioning
Jeff Hurd,Jacksonville Jaguars,1996,Assistant Strength And Conditioning
